k,scope,condition,reference,difference,low,high,routes,drivers,mean_direction,interval_support
3,mismatch_0_to_10pct,proxy_clean,random,-1.3095027721202226,-1.5672636267627835,-1.0700590144811657,1312,204,True,True
3,mismatch_0_to_10pct,proxy_clean,uncertainty,-0.765215319658194,-1.036709895986931,-0.5077681238869559,1312,204,True,True
3,mismatch_0_to_10pct,proxy_clean,disagreement,-1.3004134537475938,-1.6158271527863601,-1.0152296088175528,1312,204,True,True
3,mismatch_0_to_10pct,proxy_clean,latest_eta,-1.4965003554844913,-1.8413136031908728,-1.1638100960036288,1312,204,True,True
3,mismatch_10_to_30pct,proxy_clean,random,-0.8054233473411766,-1.0711484289968332,-0.5345134808163782,1364,199,True,True
3,mismatch_10_to_30pct,proxy_clean,uncertainty,-0.5456320575863699,-0.8693964639292717,-0.19730738065467227,1364,199,True,True
3,mismatch_10_to_30pct,proxy_clean,disagreement,-0.7010953207912184,-1.0568031689944242,-0.3271945472001293,1364,199,True,True
3,mismatch_10_to_30pct,proxy_clean,latest_eta,-1.0552310040066686,-1.3679699058100432,-0.7630047970071574,1364,199,True,True
3,mismatch_over_30pct,proxy_clean,random,-0.18547410471760348,-0.52424230417299,0.1317745167898278,1436,198,True,False
3,mismatch_over_30pct,proxy_clean,uncertainty,0.07893304735386426,-0.3456022445458414,0.49717792132296823,1436,198,False,False
3,mismatch_over_30pct,proxy_clean,disagreement,-0.12446084864353218,-0.5447630914963542,0.3158551893384353,1436,198,True,False
3,mismatch_over_30pct,proxy_clean,latest_eta,0.20370750388273787,-0.22762361562849603,0.6055294139895789,1436,198,False,False
3,driver_seen_False,proxy_clean,random,-1.029986904309119,-1.7204552695218724,-0.27408839079546987,239,77,True,True
3,driver_seen_False,proxy_clean,uncertainty,-0.2778268104507024,-1.2048310958597621,0.7351169119815218,239,77,True,False
3,driver_seen_False,proxy_clean,disagreement,-1.2250164680134503,-2.162515313010615,-0.23334355015270206,239,77,True,True
3,driver_seen_False,proxy_clean,latest_eta,-1.2580977335464152,-2.209524962007926,-0.28154527227355675,239,77,True,True
3,driver_seen_True,proxy_clean,random,-0.7324655375780262,-0.9162935946470596,-0.5491178327855186,3873,219,True,True
3,driver_seen_True,proxy_clean,uncertainty,-0.40497189833242764,-0.6178470479352789,-0.184345106644927,3873,219,True,True
3,driver_seen_True,proxy_clean,disagreement,-0.6579869123865123,-0.8707123791161356,-0.44417651514030937,3873,219,True,True
3,driver_seen_True,proxy_clean,latest_eta,-0.725415497538741,-0.9425512898662756,-0.49299249044810195,3873,219,True,True
5,all,proxy_clean,random,-0.8310353439285998,-1.0239424503838264,-0.6446198275510572,4112,261,True,True
