Route ID,mae,driver,origin
11667,88.09529747388598,197,19
11669,36.82424205350689,145,19
11680,21.86701475256954,278,19
11687,52.50629813736695,325,19
11691,40.769077173459074,165,19
11692,79.43906400811619,297,19
11693,22.78648638997597,283,19
11694,68.60892096380095,146,19
11696,57.859664890451825,323,19
11698,80.85672422894655,72,19
11699,78.62865804307593,106,19
11700,96.58513063277304,62,19
11701,64.75572734814126,71,19
11702,75.8080820357367,45,19
11704,41.4121296245809,50,19
11705,99.89010511076238,80,19
11710,39.43011845017376,44,19
11715,47.80055189978933,117,19
11720,56.46182351951027,210,19
11722,101.71352194210498,78,19
11728,30.603500490925732,63,19
11747,64.91765282735423,94,19
11749,31.831539624808276,4,19
11752,72.77052368260013,10,19
11758,31.000691045693408,353,19
11760,62.62578051033381,142,19
11762,33.98282674217998,96,19
11768,52.04891605418069,22,19
11770,27.375216034503254,258,19
11771,30.869275892839074,257,19
11772,26.56535621653301,266,19
11774,55.672199236377786,288,19
11775,43.159621931460705,282,19
11779,31.821736750345135,162,19
11780,30.714589271320747,198,19
11781,63.597584070084736,202,19
11782,67.12231103427916,302,19
11783,31.50458658887454,41,19
11786,62.98365764141883,276,19
11787,51.109451069544846,273,19
11793,45.58809058767899,301,19
11801,32.17513679108972,284,19
11803,36.65395214915604,283,19
11806,35.88639757972932,277,19
11807,57.01290733531035,297,19
11808,37.00357740767082,345,19
11812,71.78367194607588,79,19
11818,81.5685652890923,155,19
11822,51.17627254001823,14,19
11826,106.82785155148171,95,19
11832,60.28836843574149,267,19
11836,45.70657532819885,300,19
11840,40.748648253249385,301,19
11841,77.74150309889552,215,19
11842,42.3655893150418,308,19
11848,66.72367303045888,109,19
11849,37.45078748539822,9,19
11850,19.645554695241653,6,19
11851,94.55786164043145,94,19
11852,91.94174801816412,2,19
11853,42.014451228302065,7,19
11856,65.72496346763647,95,19
11857,28.85184621495001,353,19
11859,33.21368912390346,11,19
11862,40.17618551895963,161,19
11863,48.78286710608859,15,19
11865,46.769278239821844,306,19
11867,65.26270205230924,194,19
11868,25.02610205161668,25,19
11869,44.72512060034862,145,19
11870,218.64103555334114,19,19
11872,122.01456205727638,286,19
11875,40.239885714720955,42,19
11878,47.35331207872863,39,19
11880,19.59197816141847,36,19
11881,38.80872288496491,164,19
11883,77.79147608738998,279,19
11884,40.75419918565617,162,19
11888,70.18347311046588,43,19
11892,85.1867463328479,339,19
11893,106.12530777254354,223,19
11894,63.66938411632036,271,19
11896,41.24555397588998,268,19
11897,53.77532434573529,46,19
11899,110.1450435789349,277,19
11900,74.02548835198388,276,19
11905,38.38966036800478,323,19
11906,90.96523085585538,251,19
11907,43.48374086091451,273,19
11908,63.94704672711691,288,19
11909,139.11884588328013,57,19
11912,165.08311406166553,54,19
11914,47.375769138608206,27,19
11915,96.68851457854323,127,19
11918,34.53746179281607,269,19
11922,31.992103148714236,275,19
11926,112.46284885358583,174,19
11930,67.46637375376994,71,19
11931,32.63039509078743,284,19
11932,161.0941369011491,171,19
11934,48.15486253495603,270,19
11937,70.08918407556085,63,19
11938,35.130736813900015,80,19
11958,43.21141695619878,72,19
11961,65.2130494085318,150,19
11988,40.32641273537168,4,19
11993,23.373223988612516,6,19
12003,100.63029840868721,19,19
12010,69.83265241747047,350,19
12011,37.282671771798974,96,19
12012,35.685980076840615,18,19
12013,28.239041528291796,261,19
12014,44.44465042408119,42,19
12018,20.379835180950263,99,19
12019,24.50791749439866,258,19
12023,7.935666933693917,36,19
12024,24.690247751872775,274,19
12026,95.38667162191902,26,19
12027,22.490168096036314,264,19
12028,15.205225800026692,25,19
12030,19.569495496538007,37,19
12033,15.990093360786517,43,19
12040,81.72375424378876,339,19
12041,176.2104842837671,180,19
12044,58.94354274919658,41,19
12047,62.938489899654904,268,19
12050,70.38470513168438,111,19
12051,99.57012341656305,273,19
12054,17.860217900053808,246,19
12058,67.0841827989948,60,19
12064,40.05905399481918,292,19
12066,38.25195888431469,275,19
12072,55.09582299494332,234,19
12074,28.08861802285376,283,19
12075,31.75164507407274,277,19
12077,136.15104303250322,126,19
12079,38.44257597234945,72,19
12080,21.04656972010737,165,19
12081,83.97221309911777,293,19
12082,48.75052868485693,27,19
12084,36.05830582088151,265,19
12093,53.86646985428958,345,19
12096,36.93672204084319,227,19
12097,70.53293999233104,108,19
12099,129.95764661287384,174,19
12100,24.58108890309705,59,19
12101,97.29979530174901,131,19
12105,64.26593041568842,63,19
12113,102.5110414074264,150,19
12150,27.380221111330535,6,19
12154,30.794254235179032,10,19
12164,79.11601723061557,337,19
12166,31.539030905667612,96,19
12170,104.02824671371235,339,19
12172,44.494982886081964,258,19
12178,59.926376129339104,274,19
12180,59.87225103084097,31,19
12181,40.032788802482735,164,19
12182,53.054512515063735,26,19
12186,17.79401582022343,21,19
12187,28.30709531971672,18,19
12188,36.71717293214296,162,19
12190,58.27761042223853,127,19
12191,64.34901526268625,271,19
12192,32.37290833845971,266,19
12198,56.34386571772815,223,19
12199,147.22464250521838,341,19
12201,38.71079999270316,268,19
12203,56.70809715949387,42,19
12207,65.61407559634664,301,19
12208,109.88197436508449,60,19
12210,24.503810757420176,270,19
12212,153.29058249353633,180,19
12215,40.35937787305077,280,19
12222,55.13033082738926,325,19
12225,93.77331866464388,285,19
12227,127.72494962518468,126,19
